Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
SLC2A12	1	M19	M19_0_Robust_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC2A13	2	L17:M19	L17_M27_D:M19_0_Weak_F	1	SexBiased_Female	F	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC2A2	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000011000	FALSE
SLC2A4RG-PS	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000000020	FALSE
SLC2A5	1	G22	G22_010000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC2A8	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC30A1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC30A10	2	L17:M19_SSI	L17_M27_D:M19_SSI	1	SSI	I	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC30A3	1	M19	M19_0_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC30A4	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC33A1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_3_FC_3	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	0202202022	FALSE
SLC34A2	5	G21_SB:G21_TCPOBOP:G22:L17:M19	G21_SB_Female_AC_1:G21_TCPOBOP_Up_AC_0_FC_3:G22_220000000:L17_M27_U_F3_U:M19_0_Robust_F	3	SexBiased_Female	F	20000	2	Induced_Both_Up_Both	F_U_T27,B_U_B	0000002022	FALSE
SLC35A2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC35B1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_3_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	0202200020	FALSE
SLC35D2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC35E1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC35E2	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000001000	FALSE
SLC35E3	3	G21_SB:G22:M19	G21_SB_Male_AC_1:G22_010000000:M19_7_Robust_M	3	SexBiased_Male	M	00001	0	NotInduced	NA	NA	FALSE
SLC35F1	1	M19	M19_0_Robust_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC35F5	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC35F6	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC35G1	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_0_FC_3:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	F_U_T27,M_D_T27	0000022200	FALSE
SLC36A1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC37A1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000000022	FALSE
SLC38A10	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC38A2	1	G22	G22_200000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLC38A3	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC39A11	2	G21_TCPOBOP:G22	G21_TCPOBOP_Up_AC_1_FC_0:G22_100000000	1	SexBiased_Male	M	NA	1	Induced_Male_Up_T27	M_U_T27	0020000000	FALSE
SLC39A13	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC39A2	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_1:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000001000	FALSE
SLC39A4	1	M19	M19_1_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
SLC39A5	2	G21_SB:M19	G21_SB_Female_AC_2:M19_0_Robust_F	2	SexBiased_Female	F	02200	0	NotInduced	NA	NA	FALSE
SLC3A1	1	M19	M19_1_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
